id_training,nombre,descripcion,cArmas,cMunicion,cAlcohol,cDolar,facCosto,tHoras,tMinutos,tSegundos,facDura,puntosxnivel,imagenurl
1,"Planificacion de rutas","Para ser más efectivos en llegar tan rápido como sea posible al objetivo, tus chicos deberían hacer este entrenamiento. Aquí aprenderán a planear rutas, viajar silenciosamente, y aproximarse al objetivo sin ser detectados, para llevar a cabo su trabajo tan efectivamente como sea posible.",250,600,0,0,2,0,6,40,2,16,/img/F1K.gif
2,"Planificacion de encargos","Para ser más efectivos en llegar tan rápido como sea posible al objetivo, tus chicos deberían hacer este entrenamiento. Aquí aprenderán a planear rutas, viajar silenciosamente, y aproximarse al objetivo sin ser detectados, para llevar a cabo su trabajo tan efectivamente como sea posible.",500,1.250,0,500,2,0,16,40,2,46,/img/F2K.gif
3,"Extorsion","Para ser más efectivos en llegar tan rápido como sea posible al objetivo, tus chicos deberían hacer este entrenamiento. Aquí aprenderán a planear rutas, viajar silenciosamente, y aproximarse al objetivo sin ser detectados, para llevar a cabo su trabajo tan efectivamente como sea posible.",500,1.000,0,0,2,0,10,0,2,26,/img/F3K.gif
4,"Administración de base","Para ser más efectivos en llegar tan rápido como sea posible al objetivo, tus chicos deberían hacer este entrenamiento. Aquí aprenderán a planear rutas, viajar silenciosamente, y aproximarse al objetivo sin ser detectados, para llevar a cabo su trabajo tan efectivamente como sea posible.",0,0,0,2.500,2,4,0,0,2,76,/img/F4K.gif
5,"Contrabando","Para ser más efectivos en llegar tan rápido como sea posible al objetivo, tus chicos deberían hacer este entrenamiento. Aquí aprenderán a planear rutas, viajar silenciosamente, y aproximarse al objetivo sin ser detectados, para llevar a cabo su trabajo tan efectivamente como sea posible.",0,0,0,750,2,0,31,40,2,24,/img/F5K.gif
6,"Espionaje","Para ser más efectivos en llegar tan rápido como sea posible al objetivo, tus chicos deberían hacer este entrenamiento. Aquí aprenderán a planear rutas, viajar silenciosamente, y aproximarse al objetivo sin ser detectados, para llevar a cabo su trabajo tan efectivamente como sea posible.",250,250,0,150,2,0,13,20,2,13,/img/F6K.gif
7,"Seguridad","Para ser más efectivos en llegar tan rápido como sea posible al objetivo, tus chicos deberían hacer este entrenamiento. Aquí aprenderán a planear rutas, viajar silenciosamente, y aproximarse al objetivo sin ser detectados, para llevar a cabo su trabajo tan efectivamente como sea posible.",500,2.000,0,500,2,0,14,0,2,61,/img/F7K.gif
8,"Proteccion de grupo","Para ser más efectivos en llegar tan rápido como sea posible al objetivo, tus chicos deberían hacer este entrenamiento. Aquí aprenderán a planear rutas, viajar silenciosamente, y aproximarse al objetivo sin ser detectados, para llevar a cabo su trabajo tan efectivamente como sea posible.",1.500,2.500,0,1.000,2,0,16,40,2,96,/img/F8K.gif
9,"Combate cuerpo a cuerpo","Para ser más efectivos en llegar tan rápido como sea posible al objetivo, tus chicos deberían hacer este entrenamiento. Aquí aprenderán a planear rutas, viajar silenciosamente, y aproximarse al objetivo sin ser detectados, para llevar a cabo su trabajo tan efectivamente como sea posible.",1.000,1.000,0,1.500,2,0,20,40,2,76,/img/F9K.gif
10,"Combate de armas a corta","Para ser más efectivos en llegar tan rápido como sea posible al objetivo, tus chicos deberían hacer este entrenamiento. Aquí aprenderán a planear rutas, viajar silenciosamente, y aproximarse al objetivo sin ser detectados, para llevar a cabo su trabajo tan efectivamente como sea posible.",500,100,0,1.500,2,0,17,0,2,53,/img/F10K.gif
11,"Entrenamiento de Tiro","Para ser más efectivos en llegar tan rápido como sea posible al objetivo, tus chicos deberían hacer este entrenamiento. Aquí aprenderán a planear rutas, viajar silenciosamente, y aproximarse al objetivo sin ser detectados, para llevar a cabo su trabajo tan efectivamente como sea posible.",2.500,6.000,0,5.000,2,1,4,0,2,296,/img/F11K.gif
12,"Fabricación de explosivos","Para ser más efectivos en llegar tan rápido como sea posible al objetivo, tus chicos deberían hacer este entrenamiento. Aquí aprenderán a planear rutas, viajar silenciosamente, y aproximarse al objetivo sin ser detectados, para llevar a cabo su trabajo tan efectivamente como sea posible.",5.000,10.000,0,7.500,2,2,20,0,2,471,/img/F12K.gif
13,"Entrenamiento de guerrilla","Para ser más efectivos en llegar tan rápido como sea posible al objetivo, tus chicos deberían hacer este entrenamiento. Aquí aprenderán a planear rutas, viajar silenciosamente, y aproximarse al objetivo sin ser detectados, para llevar a cabo su trabajo tan efectivamente como sea posible.",4.000,5.000,0,6.000,2,1,6,40,2,321,/img/F13K.gif
14,"Entrenamiento psicologico","Para ser más efectivos en llegar tan rápido como sea posible al objetivo, tus chicos deberían hacer este entrenamiento. Aquí aprenderán a planear rutas, viajar silenciosamente, y aproximarse al objetivo sin ser detectados, para llevar a cabo su trabajo tan efectivamente como sea posible.",1.000,2.500,0,8.000,2,1,26,40,2,301,/img/F14K.gif
15,"Entrenamiento Quimico","Para ser más efectivos en llegar tan rápido como sea posible al objetivo, tus chicos deberían hacer este entrenamiento. Aquí aprenderán a planear rutas, viajar silenciosamente, y aproximarse al objetivo sin ser detectados, para llevar a cabo su trabajo tan efectivamente como sea posible.",2.000,6.000,0,6.000,2,0,48,0,2,200,/img/F15K.gif
16,"Honor","Para ser más efectivos en llegar tan rápido como sea posible al objetivo, tus chicos deberían hacer este entrenamiento. Aquí aprenderán a planear rutas, viajar silenciosamente, y aproximarse al objetivo sin ser detectados, para llevar a cabo su trabajo tan efectivamente como sea posible.",0,0,0,280.000,2,5,6,40,2,4201,/img/F16K.gif